Continent,Country or State,Province or City,Shop Name,Shop Age,PC Make,PC Model,Storage Type,Customer Name,Customer Surname,Customer Contact Number,Customer Email Address,Sales Person Name,Sales Person Department,Cost Price,Sale Price,Payment Method,Discount Amount,Purchase Date,Ship Date,Finance Amount,RAM,Credit Score,Channel,Priority,Cost of Repairs,Total Sales per Employee,PC Market Price,Storage Capacity
North America,New York,Garden City,KyaSand Tech Gadgets,9,MSI,GE76 Raider,HDD,Jeremy,Perkins,+1-163-705-3411x073,dharris@example.org,Jake Lee,New Sales,19095,21387,Cash,393,2022-09-18,2022-09-30,0,8GB,737,Online,Low,0,695,20044,1TB
North America,Ohio,Dublin,Western International PCs,2,Asus,ExpertBook B9,SSD,Jamie,Lawson,582-086-2490,fevans@example.net,Ann Johnson,Second-hand Sales,18678,23658,Cash,618,2021-10-15,2021-10-28,0,2GB,489,Online,Low,0,462,22074,1TB
North America,Ohio,Euclid,KyaSand Tech Gadgets,8,Dell,OptiPlex,HDD,John,Gonzales,(288)230-4184x66100,lori42@example.org,Ann Johnson,New Sales,14746,19343,Finance,716,2023-02-23,N/A,40970,2GB,721,Offline,High,0,905,15676,500GB
North America,California,Chula Vista,GHI Machines,7,MSI,GE76 Raider,HDD,Eric,Schmidt,422-653-4581x68316,mark05@example.com,Joe Black,Second-hand Sales,28148,31353,Finance,456,2022-09-08,2022-09-27,13103,2GB,494,Online,Medium,0,849,30932,256GB
North America,Georgia,Warner Robins,Ricks Computers,1,Lenovo,ThinkPad X13 Yoga,HDD,Angel,Noble,535-505-9935x014,osantana@example.net,Rebecca Brown,Returns,19208,21335,Bank Transfer,178,2023-09-21,N/A,0,4GB,767,Offline,Low,0,271,20902,256GB
North America,North Carolina,Jacksonville,KyaSand Tech Gadgets,1,Apple,Apple MacBook Pro,HDD,Debra,Foster,+1-472-846-6487x79648,hjones@example.com,Tony Valenzuela,Repairs,13725,17351,Cash,261,2023-01-18,2023-02-17,0,4GB,524,Online,Medium,3266,330,13903,500GB
Africa,Morocco,Mediouna,Greens Laptops and PCs,9,Asus,ZenBook UX425,HDD,Lori,Rodriguez,227-983-0583x334,dfrazier@example.com,John Whitney,Second-hand Sales,13294,17509,Bank Transfer,944,2022-02-15,N/A,0,2GB,487,Offline,Low,0,583,14951,256GB
North America,North Carolina,Durham,Greens Laptops and PCs,4,Toshiba,Tecra,SSD,Matthew,Dawson,789.947.0368,johnathanware@example.com,Morgan Moore,Repairs,24381,28382,Finance,921,2023-12-08,N/A,29238,2GB,701,Offline,Medium,2237,108,25958,500GB
North America,New York,Freeport,GHI Machines,3,MSI,GL65 Leopard,HDD,Christopher,Arnold,746-159-3566,rowlanddiamond@example.net,Sean Guerrero,Returns,21165,25417,Finance,416,2023-10-12,2023-10-18,22612,4GB,487,Online,Low,0,697,25155,500GB
Africa,Ethiopia,Harari,Jacks Hardware,7,Dell,Chromebook,SSD,Dawn,Mason,(224)179-2009x28685,mitchellrandy@example.net,Michael Summers,Second-hand Sales,25605,28214,Finance,807,2024-01-10,N/A,10269,16GB,821,Offline,Medium,0,952,27978,256GB
Africa,Ghana,Ashanti,Mini Tech,7,Asus,ROG Strix Scar III,HDD,Nicole,Wagner,4118790285,camerondanielle@example.net,Jessica Morgan,Returns,13444,15816,Bank Transfer,779,2022-07-05,2022-08-02,0,8GB,776,Online,Medium,0,151,14778,500GB
North America,Michigan,Sterling Heights,Mini Tech,7,Toshiba,Libretto,HDD,Jacqueline,Cain,1935254823,shawngarcia@example.com,Michael Gomez,New Sales,14567,19019,Bank Transfer,515,2022-11-13,N/A,0,8GB,595,Offline,High,0,859,16233,256GB
Africa,Morocco,Mediouna,Greens Laptops and PCs,3,Lenovo,ThinkPad T14,HDD,Karen,Stevens,(891)640-6389,samuelmartinez@example.org,Kelly Mitchell,New Sales,21163,23223,Finance,925,2023-07-05,N/A,26409,2GB,752,Offline,Low,0,415,22994,1TB
Africa,Botswana,North-West,GH PC Shop,6,Asus,VivoBook Flip 14,HDD,Justin,Wolfe,7703980873,nelsonnicholas@example.net,Lisa Williams,Returns,6167,10939,Finance,428,2023-08-01,N/A,33990,2GB,849,Offline,Medium,0,137,6645,1TB
Africa,Angola,Uige,LJ Computers,3,HP,Probook,HDD,Nicholas,Johnson,124.772.9466x01437,samuel92@example.net,Kimberly Duncan,Repairs,5268,8789,Cash,594,2023-10-12,2023-10-20,0,4GB,475,Online,Medium,3578,866,6560,256GB
North America,Ohio,Lorain,CK Tech Store,10,Asus,VivoBook S14,HDD,Andrea,Carr,001-772-207-7719,rclark@example.org,Ann Johnson,Second-hand Sales,28837,31870,Bank Transfer,426,2022-12-22,2023-01-03,0,2GB,501,Online,Medium,0,781,31658,1TB
North America,Pennsylvania,Easton,Western International PCs,7,Apple,Apple PowerBook G4,HDD,Todd,Smith,(265)291-3460,sarah56@example.net,Carl Davis,Repairs,8625,13059,Finance,398,2023-04-13,N/A,44216,16GB,461,Offline,Low,1122,564,11865,500GB
Africa,Kenya,Bungoma,ABC Computers,1,Apple,Apple Macintosh Classic,HDD,Calvin,Robinson,+1-712-821-0303,william35@example.com,Amy Johnson,Returns,19831,23372,Bank Transfer,72,2024-01-13,2024-01-19,0,2GB,593,Online,Low,0,778,22516,1TB
Africa,Egypt,Giza,S & A Computer Place,6,Toshiba,Satellite,SSD,Jose,Cruz,(477)050-3664,ccameron@example.com,Evan Scott,Second-hand Sales,5053,8420,Bank Transfer,203,2023-06-24,2023-07-02,0,8GB,631,Online,Low,0,931,8025,500GB
North America,Florida,Coral Springs,ABC Computers,2,Microsoft,Surface Go,SSD,Tammy,Williams,+1-174-625-4880x2505,dawnrusso@example.com,Mark Evans,Second-hand Sales,9083,11608,Bank Transfer,618,2021-06-06,2021-06-24,0,4GB,426,Online,Low,0,531,11409,500GB
Africa,Egypt,Luxor,GH PC Shop,6,Toshiba,Libretto,SSD,Daniel,Gardner,866-252-1277x743,lfoster@example.com,Michael Gibson,Returns,23076,27558,Cash,172,2021-07-28,N/A,0,2GB,816,Offline,Medium,0,888,23543,500GB
Africa,Tanzania,Shinyanga,Ricks Computers,6,HP,Pavilion,HDD,Shelly,Cooper,652-807-4973x274,joshuamorrow@example.org,Tara Price,New Sales,26039,30802,Bank Transfer,541,2021-12-07,N/A,0,2GB,591,Offline,Low,0,854,30723,1TB
North America,New York,Spring Valley,DEF Machines,8,Apple,Apple Lisa,HDD,Patrick,Chang,(953)533-9374x454,snyderjon@example.com,Alan Newman,Returns,15367,19663,Cash,959,2022-05-19,2022-06-15,0,8GB,495,Online,Low,0,846,16647,256GB
Africa,Kenya,Kisii,CK Tech Store,8,HP,Pavilion,HDD,Jay,Hernandez,694.239.6817,kbyrd@example.net,Cassandra Mcmillan,New Sales,10138,12653,Finance,502,2021-08-20,2021-08-30,28747,2GB,686,Online,Medium,0,76,10503,1TB
North America,California,San Bernardino,ABC Computers,6,Samsung,Notebook 9,SSD,Michelle,Medina,731.598.1523x46219,fraziermitchell@example.org,Linda Perez,Repairs,4966,8136,Cash,926,2021-07-02,2021-07-05,0,16GB,808,Online,Medium,3240,982,5633,1TB
North America,Pennsylvania,Lancaster,Mini Tech,3,Acer,Predator Helios 300,HDD,Scott,Morrison,+1-653-175-2141x9978,rebecca53@example.net,Michael Smith,New Sales,20261,24216,Finance,859,2024-02-10,2024-02-24,11416,4GB,594,Online,Low,0,575,20468,256GB
North America,North Carolina,Gastonia,Ricks Computers,5,HP,Omen,HDD,Betty,Martinez,3613983432,turnerronald@example.com,Tony Valenzuela,New Sales,19268,22513,Cash,561,2021-05-26,2021-06-12,0,16GB,749,Online,High,0,449,22300,1TB
North America,California,Sacramento,Greens Laptops and PCs,5,Microsoft,Surface Laptop,SSD,Bryan,Munoz,933.694.4782x99809,millerkyle@example.com,Amber Montgomery,New Sales,27225,30842,Finance,0,2023-10-11,N/A,48135,2GB,657,Offline,Medium,0,257,29505,256GB
North America,Texas,Brownsville,Jacks Hardware,2,Dell,Alienware,SSD,John,Eaton,986-900-7974x5281,gcarlson@example.org,Laurie Wright,Second-hand Sales,4776,7290,Finance,974,2022-01-02,2022-01-15,40188,4GB,597,Online,Low,0,887,4901,1TB
Africa,Egypt,Aswan,KyaSand Tech Gadgets,8,Apple,Apple MacBook Pro,SSD,Alexis,Reese,043-855-4650x947,timothycarter@example.com,Jeffrey Nelson,Repairs,11971,15291,Cash,584,2021-12-12,2021-12-14,0,16GB,691,Online,Low,3763,362,12561,1TB
North America,Florida,Lakeland,ABC Computers,6,Microsoft,Surface Studio,HDD,Natasha,Smith,+1-920-618-1077,fjensen@example.net,Mark Evans,Second-hand Sales,25137,29008,Finance,138,2023-09-11,N/A,7437,16GB,513,Offline,Medium,0,369,27027,500GB
North America,Michigan,Warren,CK Tech Store,5,Samsung,Notebook Flash,HDD,John,Smith,188-959-3527,pscott@example.com,Kevin Padilla,Second-hand Sales,23352,26143,Bank Transfer,957,2021-06-13,2021-06-28,0,8GB,749,Online,Low,0,601,23522,500GB
Africa,Botswana,South-East,DEF Machines,5,Samsung,Chromebook 4,HDD,Crystal,Henry,001-875-924-1856x94476,danieljuarez@example.com,Susan Nelson,Second-hand Sales,10762,15668,Bank Transfer,314,2021-12-23,2022-01-13,0,2GB,630,Online,High,0,423,10973,500GB
North America,Georgia,Warner Robins,GH PC Shop,6,Acer,Spin 5,SSD,Heather,Gomez,7581310829,alicia05@example.net,Kimberly Smith,Second-hand Sales,25360,27747,Bank Transfer,148,2022-11-11,2022-11-17,0,4GB,458,Online,Low,0,686,25954,256GB
Africa,Ethiopia,"Southern Nations, Nationalities, and Peoples Region (SNNPR)",Mini Tech,7,Dell,XPS,HDD,Chad,Rosales,258.420.6419x4769,austinterry@example.com,Alexa Hopkins,Repairs,8835,11843,Cash,928,2023-10-15,N/A,0,4GB,625,Offline,Low,2711,796,10284,256GB
Africa,Tanzania,Rukwa,Benjis Tech,6,Acer,Swift 3,HDD,Samantha,Benjamin,001-198-556-0072x81096,michele85@example.com,Alicia Evans,Repairs,28639,31606,Cash,143,2023-11-19,N/A,0,4GB,497,Offline,Medium,1716,521,29668,500GB
North America,Florida,Hialeah,GH PC Shop,7,Samsung,Galaxy Chromebook 2,HDD,Brian,Thomas,(647)260-3045x786,petersonolivia@example.org,Deborah Anderson MD,Repairs,19166,23598,Finance,441,2022-10-31,N/A,25112,16GB,839,Offline,Low,1741,662,22898,256GB
Africa,Ghana,Greater Accra,Benjis Tech,4,Lenovo,ThinkPad X1 Yoga,SSD,Matthew,Perez,(436)465-4594x80681,vbaker@example.org,Sheila Nichols,Repairs,29185,34005,Cash,961,2023-02-11,N/A,0,8GB,635,Offline,Low,1428,82,32463,500GB
Africa,Nigeria,Jigawa,KyaSand Tech Gadgets,5,HP,Omen,HDD,Victor,Hunter,939.848.7115,ryanperez@example.net,Jennifer Marshall,Second-hand Sales,16271,19836,Cash,534,2022-06-13,2022-06-23,0,2GB,415,Online,Low,0,54,18071,1TB
North America,Pennsylvania,Altoona,Greens Laptops and PCs,6,Samsung,Notebook 9,HDD,Alexander,Miller,(695)288-3460x33132,shannonlam@example.com,Leah Watts,Returns,25185,28086,Bank Transfer,483,2021-10-10,2021-10-30,0,2GB,816,Online,Medium,0,456,26674,1TB
Africa,Morocco,Berkane,KyaSand Tech Gadgets,2,Microsoft,Surface Go,HDD,Michael,Bailey,050.464.6061,angelasims@example.net,Gina Day,Second-hand Sales,14113,18344,Finance,497,2021-06-09,N/A,25885,8GB,796,Offline,High,0,717,15990,1TB
Africa,Botswana,Central,S & A Computer Place,9,MSI,Modern 15,HDD,Sarah,Howard,191-071-0421,sullivanchad@example.net,Heather Singleton,Returns,7830,11407,Cash,331,2021-08-26,N/A,0,4GB,563,Offline,High,0,10,11336,500GB
Africa,Botswana,Kgalagadi,ABC Computers,7,Samsung,Notebook 7 Spin,HDD,William,Garcia,(595)047-1260,kmoran@example.net,Heather Singleton,Repairs,21756,26247,Finance,697,2021-11-25,2021-11-28,3487,8GB,648,Online,High,2097,147,25536,500GB
North America,Illinois,Elgin,DEF Machines,1,Lenovo,ThinkCentre M920 Tiny,HDD,William,Cook,+1-033-879-5375x8848,hornangel@example.net,Jerry Cox,New Sales,26313,30575,Bank Transfer,629,2022-04-01,N/A,0,16GB,439,Offline,High,0,984,26434,1TB
North America,Illinois,Oak Lawn,Benjis Tech,8,Apple,Apple MacBook Air,HDD,Jeffrey,Freeman,367-079-9894,rubiodanielle@example.net,Katie Fernandez,Second-hand Sales,24936,28887,Cash,422,2022-12-09,N/A,0,8GB,831,Offline,Low,0,573,28847,1TB
Africa,Angola,Zaire,Mini Tech,3,HP,ZBook,HDD,Sarah,Maxwell,2342022014,megan22@example.com,Cassidy Mason,Repairs,3730,5848,Bank Transfer,568,2024-01-25,2024-02-24,0,8GB,730,Online,Medium,3951,420,5498,500GB
North America,New York,Saratoga Springs,ABC Computers,7,Lenovo,ThinkPad P15s,SSD,Alison,Molina,(096)368-7764x735,ewood@example.com,Jake Lee,Second-hand Sales,9820,12780,Finance,699,2022-10-26,N/A,4690,8GB,829,Offline,High,0,272,12549,500GB
Africa,Egypt,Faiyum,Western International PCs,1,HP,Chromebook,SSD,Wayne,Kelly,+1-181-489-2748x0621,matthewmartinez@example.org,Jeffrey Nelson,New Sales,7825,12452,Bank Transfer,832,2024-01-28,N/A,0,2GB,415,Offline,Medium,0,312,11898,256GB
North America,Illinois,Cicero,KyaSand Tech Gadgets,7,MSI,GS66 Stealth,HDD,Tammie,Porter,603-661-8254x4485,kevinmiller@example.com,Jason Phillips,Repairs,14266,18454,Cash,202,2021-12-04,2021-12-17,0,16GB,545,Online,Low,1987,817,16348,256GB
Africa,Botswana,Kweneng,GHI Machines,2,HP,Elitebook,SSD,Tyler,Freeman,312.013.2314x3433,lynn14@example.org,Heather Singleton,New Sales,21791,24314,Cash,684,2022-02-07,N/A,0,16GB,575,Offline,Low,0,554,22599,256GB
North America,North Carolina,Rocky Mount,Frankies Hardware and Software,4,Apple,Apple Macintosh Classic,SSD,Amanda,Johnson,001-289-905-5996x63652,michael46@example.net,Tamara Clark,Repairs,13767,17927,Finance,493,2023-04-23,N/A,39159,16GB,490,Offline,Medium,3236,816,16802,256GB
North America,Texas,Denton,Frankies Hardware and Software,5,Toshiba,Satellite,HDD,Kendra,Frost,892-695-0752x28284,deborahnorman@example.com,Amanda Brown,New Sales,15029,19020,Finance,488,2022-08-06,2022-08-07,29886,16GB,660,Online,Low,0,462,18179,256GB
North America,California,Bakersfield,Ricks Computers,7,Asus,ProArt StudioBook Pro X,SSD,Travis,Snyder,580-793-6204x30100,andrea51@example.com,Rachel Mitchell,New Sales,19758,21801,Cash,463,2021-10-17,N/A,0,4GB,533,Offline,High,0,286,20291,1TB
North America,Ohio,Elyria,CK Tech Store,6,Toshiba,Dynabook,HDD,Jay,Coleman,+1-483-919-4357x562,amanda92@example.net,Erin Tucker,Returns,7892,11571,Bank Transfer,756,2021-04-17,2021-04-26,0,4GB,671,Online,Low,0,34,10055,1TB
Africa,Morocco,Khenifra,LJ Computers,10,Dell,G Series,HDD,Vanessa,Ramsey,(254)855-0652,pamela43@example.org,Brian Johnson,New Sales,28418,31622,Bank Transfer,582,2022-09-09,2022-09-22,0,4GB,433,Online,High,0,628,30290,500GB
Africa,Tanzania,Katavi,Ricks Computers,6,Dell,G Series,SSD,Kathy,Smith,(179)318-4330,brucesmith@example.net,Jennifer Morales,New Sales,14639,18961,Finance,589,2022-06-04,N/A,15107,16GB,798,Offline,Medium,0,57,14756,1TB
Africa,Ethiopia,Tigray,DEF Machines,3,MSI,GE76 Raider,SSD,Vanessa,Keller,001-744-649-5754,marcusfitzgerald@example.net,Joseph Good,Second-hand Sales,24154,28230,Cash,60,2021-11-29,N/A,0,8GB,421,Offline,Low,0,396,27579,256GB
North America,Michigan,Muskegon,Greens Laptops and PCs,2,Acer,Spin 5,SSD,Michael,Scott,001-184-057-6079x2165,weavermelissa@example.net,Tiffany Velez,Repairs,12164,14484,Bank Transfer,794,2021-06-20,2021-07-09,0,4GB,634,Online,High,2495,579,12597,500GB
Africa,South Africa,North West,S & A Computer Place,7,Acer,Predator Helios 300,HDD,Curtis,Cruz,918.677.8158,james54@example.com,Mrs. Barbara Davenport,Second-hand Sales,18437,20810,Finance,584,2023-08-05,N/A,19062,16GB,489,Offline,Low,0,528,19562,1TB
Africa,Angola,Huambo,A & A PCs,3,Lenovo,ThinkCentre M920 Tiny,SSD,Kenneth,Caldwell,167.663.3794x29334,roypierce@example.net,Cassidy Mason,Returns,9703,13305,Finance,530,2022-07-25,2022-07-26,3396,4GB,849,Online,High,0,167,11317,256GB
Africa,Ethiopia,Tigray,Ricks Computers,1,HP,Pavilion,SSD,Lisa,Ashley,+1-593-113-0263,irwintara@example.org,Rachel Guerrero,Repairs,5738,10042,Finance,879,2023-05-13,N/A,6112,2GB,613,Offline,Low,4203,676,7981,500GB
North America,Ohio,Strongsville,KyaSand Tech Gadgets,1,Microsoft,Surface Go,SSD,Matthew,Jones,324.931.9080,reeveslisa@example.net,Roger Cole,Second-hand Sales,8984,12054,Bank Transfer,763,2022-06-05,N/A,0,8GB,710,Offline,Low,0,445,11717,500GB
Africa,Botswana,Kgatleng,DEF Machines,10,Acer,Aspire 5,HDD,Anthony,Mcdonald,(092)432-0711,denise18@example.com,Heather Singleton,New Sales,25292,28713,Finance,760,2022-09-16,2022-09-26,29403,16GB,836,Online,High,0,467,26028,500GB
Africa,Botswana,Kgalagadi,Frankies Hardware and Software,1,Lenovo,ThinkPad P15s,SSD,Kyle,Nichols,004-198-4061x5102,ohernandez@example.net,Lisa Williams,Returns,22513,25674,Finance,176,2021-10-23,2021-11-11,45745,4GB,551,Online,Medium,0,182,25327,1TB
North America,Georgia,Savannah,KyaSand Tech Gadgets,8,Acer,Aspire E 15,SSD,Lauren,Lewis,102-391-1111x772,shannon89@example.net,Kimberly Smith,Returns,12645,15813,Finance,555,2022-10-13,N/A,26140,8GB,637,Offline,High,0,180,12727,500GB
North America,California,Irvine,Western International PCs,7,Dell,OptiPlex,HDD,Andrew,Tran,+1-396-932-1135x799,zbush@example.com,Andrew Miranda,Second-hand Sales,11502,13805,Finance,281,2024-01-02,2024-01-05,2535,8GB,428,Online,Low,0,352,12163,256GB
Africa,Egypt,Asyut,GH PC Shop,3,Acer,Nitro 5,HDD,Jacob,Gill,089.969.6753x6994,craigmoore@example.org,Kelly Christian,New Sales,17148,20061,Bank Transfer,171,2023-01-01,N/A,0,8GB,624,Offline,Medium,0,307,19641,256GB
Africa,Nigeria,Ogun,Benjis Tech,3,Dell,Venue,SSD,Tammy,Murray,491.341.2276x14666,jack53@example.net,Randy Dillon,Returns,4194,9142,Finance,305,2022-05-09,2022-05-12,33419,16GB,678,Online,High,0,924,4911,256GB
Africa,Morocco,Oued Ed-Dahab,Greens Laptops and PCs,6,Apple,Apple PowerBook G4,HDD,Claudia,Lowe,495-747-8463,mitchell18@example.com,John Whitney,Second-hand Sales,28609,30788,Bank Transfer,357,2024-01-18,2024-01-19,0,16GB,428,Online,Low,0,439,30348,256GB
Africa,Tanzania,Lindi,ABC Computers,4,Dell,G Series,HDD,Adam,Flynn,908-555-6519,zfreeman@example.org,David Osborn,Returns,24908,28683,Bank Transfer,982,2024-03-01,2024-03-06,0,16GB,653,Online,High,0,38,26148,1TB
Africa,Kenya,Mandera,S & A Computer Place,1,MSI,GS66 Stealth,SSD,Kayla,Brown,001-450-281-2194x6526,vroberson@example.org,Jason Robinson,Repairs,9530,13495,Finance,714,2021-09-12,2021-09-24,46851,2GB,698,Online,Low,4834,217,10873,256GB
Africa,Egypt,Sohag,Benjis Tech,1,MSI,GP65 Leopard,SSD,Leslie,Brock,001-693-649-5439x46438,jeffreyjackson@example.com,Evan Scott,Repairs,24389,28042,Finance,580,2022-02-13,N/A,45934,16GB,489,Offline,Medium,1278,650,26607,1TB
North America,New York,Glen Cove,DEF Machines,6,MSI,GE76 Raider,HDD,Christine,Simon,1553928987,courtney74@example.com,Natalie Jimenez,New Sales,3287,8286,Finance,522,2022-11-22,N/A,41134,16GB,706,Offline,High,0,809,6612,1TB
Africa,Kenya,Narok,Greens Laptops and PCs,10,MSI,GP65 Leopard,HDD,Justin,Foster,(917)040-3456,richardkim@example.com,Jason Robinson,Returns,4869,6898,Finance,309,2023-12-18,2024-01-01,17891,4GB,696,Online,High,0,809,6346,1TB
Africa,Egypt,Minya,A & A PCs,2,Acer,ConceptD 5,SSD,Kevin,Guzman,041-890-7234x15689,hunterjennifer@example.com,Mario Daniel,Returns,19502,23673,Cash,896,2024-02-24,2024-03-19,0,2GB,701,Online,Low,0,918,22306,256GB
Africa,Ethiopia,Oromia,DEF Machines,1,Apple,Apple PowerBook G4,SSD,Jackie,Thomas,417.492.2922x035,areyes@example.org,Jacob Spencer,Second-hand Sales,6112,8848,Cash,9,2023-06-23,2023-07-07,0,8GB,538,Online,High,0,106,6709,1TB
Africa,South Africa,Eastern Cape,A & A PCs,10,MSI,GP65 Leopard,SSD,Carrie,White,(661)958-4472x9722,kmeyer@example.org,Daniel Lane,New Sales,19022,23186,Finance,755,2023-04-04,N/A,43368,8GB,771,Offline,Medium,0,853,19048,500GB
North America,Texas,Abilene,ABC Computers,1,MSI,Alpha 15,SSD,Patricia,Moss,755.305.5371x8477,harveyjames@example.net,Lauren Morales,Returns,14545,18693,Bank Transfer,681,2022-09-12,2022-09-24,0,2GB,634,Online,Medium,0,765,14809,500GB
North America,Ohio,Columbus,LJ Computers,9,Acer,Aspire 5,HDD,Michael,Ritter,(357)710-6825x35078,cheryllewis@example.org,Mr. Nathan Douglas,Returns,7090,11787,Bank Transfer,322,2022-04-27,N/A,0,16GB,678,Offline,Low,0,538,10076,256GB
North America,Pennsylvania,Pittsburgh,Benjis Tech,6,HP,Stream,SSD,Manuel,Moyer,(298)823-4484x9369,cfreeman@example.org,Michael Chan,Second-hand Sales,3643,6046,Bank Transfer,980,2023-02-21,N/A,0,16GB,466,Offline,Medium,0,424,4246,1TB
Africa,Egypt,Kafr El Sheikh,ABC Computers,3,Toshiba,Satellite,SSD,Jennifer,Palmer,(481)281-7728x6836,barbara33@example.net,Evan Scott,New Sales,7235,9722,Finance,829,2021-06-05,N/A,22180,8GB,473,Offline,Medium,0,856,8417,1TB
Africa,Tanzania,Iringa,KyaSand Tech Gadgets,1,Acer,Nitro 5,HDD,Benjamin,Mercado,2704533034,rachel55@example.org,Aaron Taylor,Second-hand Sales,9565,13715,Cash,79,2022-01-03,N/A,0,2GB,618,Offline,Low,0,211,10618,1TB
North America,Ohio,Warren,GHI Machines,1,Dell,Vostro,HDD,Debra,Jackson,+1-461-248-3039x572,erik00@example.org,Roger Cole,Returns,5650,10570,Cash,20,2022-09-27,N/A,0,4GB,693,Offline,Medium,0,659,6544,500GB
Africa,Ethiopia,"Southern Nations, Nationalities, and Peoples Region (SNNPR)",Western International PCs,4,Microsoft,Surface Laptop,HDD,Elizabeth,Holden,+1-841-017-6307x29439,ekirby@example.org,Kenneth Herring,Second-hand Sales,14969,19134,Cash,151,2022-07-18,N/A,0,16GB,553,Offline,High,0,542,15596,256GB
Africa,Tanzania,Pwani,Western International PCs,2,Apple,Apple Macintosh Classic,SSD,Carrie,Parrish,645.426.0376x94113,david68@example.net,Corey Rasmussen,Second-hand Sales,12867,17235,Finance,390,2021-11-18,N/A,12439,4GB,486,Offline,Low,0,177,14242,500GB
Africa,Ghana,Greater Accra,KyaSand Tech Gadgets,3,Asus,VivoBook S14,HDD,Denise,Torres,+1-714-334-1544x7733,colonandrea@example.org,Krista Wu,New Sales,23068,26108,Finance,980,2022-08-30,2022-09-21,17942,4GB,427,Online,Low,0,609,23936,500GB
Africa,Tanzania,Mwanza,CK Tech Store,9,MSI,Alpha 15,SSD,Natasha,Moreno,628.092.6650x802,imorris@example.org,David Osborn,Returns,18233,20343,Cash,637,2021-10-06,N/A,0,8GB,565,Offline,High,0,453,18908,256GB
Africa,Kenya,Makueni,GH PC Shop,3,Dell,Venue,HDD,Angela,Richards,996-684-5471,chadharrington@example.net,Danielle Cole,New Sales,28753,30766,Bank Transfer,382,2022-05-31,N/A,0,2GB,616,Offline,Medium,0,374,30147,256GB
North America,Michigan,Midland,ABC Computers,5,Apple,Apple MacBook Air,HDD,Matthew,Garza,0130081376,zmarshall@example.org,Elizabeth Martinez,New Sales,15089,18031,Bank Transfer,614,2023-11-20,N/A,0,2GB,419,Offline,High,0,482,17892,1TB
North America,North Carolina,Durham,KyaSand Tech Gadgets,10,Acer,ConceptD 5,SSD,Amber,Hays,652.609.8865,sanchezjohn@example.org,Craig Wheeler,Repairs,9592,14041,Finance,855,2023-04-28,2023-05-07,43352,4GB,832,Online,Low,2702,43,12636,500GB
North America,Florida,St. Petersburg,Mini Tech,6,Apple,Apple Mac Pro,HDD,Matthew,Cook,+1-974-249-9664x6927,vjohnson@example.net,Tanya Mcclure,New Sales,15515,19232,Bank Transfer,933,2023-03-20,2023-03-25,0,16GB,405,Online,Medium,0,609,16947,500GB
Africa,Egypt,Sohag,Jacks Hardware,5,Apple,Apple Mac Pro,HDD,Daniel,Jones,344-032-5270,dmyers@example.com,Robert Hudson,Returns,10858,15549,Cash,961,2023-11-03,2023-11-04,0,4GB,529,Online,Low,0,357,14148,500GB
North America,Ohio,Middletown,A & A PCs,7,HP,Elitebook,SSD,Evan,Sanchez,(196)156-4454x144,harrisonkeith@example.org,Mr. Nathan Douglas,Second-hand Sales,24894,29663,Bank Transfer,71,2022-01-22,N/A,0,2GB,539,Offline,Medium,0,835,25684,1TB
Africa,Kenya,Vihiga,Benjis Tech,1,Microsoft,Surface Duo,HDD,Amanda,Boyle,(120)725-0319x3874,garydavis@example.com,Kenneth Moore,Repairs,17608,21097,Cash,738,2021-04-06,N/A,0,16GB,757,Offline,Medium,4514,657,18408,256GB
North America,Texas,Tyler,GHI Machines,5,MSI,GP65 Leopard,SSD,Keith,Gonzalez,(584)713-7319,jessicawaller@example.net,Michael Koch,Repairs,23669,28646,Finance,110,2021-06-05,N/A,26999,8GB,586,Offline,Medium,3022,475,26690,500GB
North America,Illinois,Rockford,GHI Machines,10,HP,Envy,SSD,Elizabeth,Sanchez,(364)390-4000,tthompson@example.net,Jason Phillips,Second-hand Sales,20532,23217,Cash,753,2023-08-27,N/A,0,4GB,843,Offline,High,0,666,22980,500GB
Africa,Egypt,North Sinai,XYZ Tech,4,Toshiba,Qosmio,SSD,John,Jacobson,033.701.3107x2960,jefflawrence@example.net,Robert Hudson,Second-hand Sales,6770,8868,Finance,767,2021-12-28,2022-01-04,38706,8GB,709,Online,Medium,0,40,7535,256GB
North America,Georgia,Kennesaw,S & A Computer Place,1,Lenovo,ThinkPad X1 Carbon,SSD,Steven,Mcclure,045.338.3406x40201,allisonwarren@example.net,Joe Thomas,Repairs,5406,9509,Finance,57,2021-11-06,2021-11-09,10490,2GB,569,Online,Medium,3763,677,8320,256GB
North America,Georgia,Milledgeville,ABC Computers,1,Apple,Apple iMac,SSD,Sandra,Tran,+1-598-698-8058x87186,xevans@example.com,Chris Jones,Second-hand Sales,8549,11990,Bank Transfer,583,2023-11-22,2023-12-10,0,4GB,657,Online,High,0,520,11803,500GB
Africa,Morocco,Marrakesh-Safi,Mini Tech,2,Acer,Chromebook Spin 311,HDD,Crystal,Fernandez,157.338.3089x0071,matthew05@example.com,Kelly Mitchell,Second-hand Sales,7000,11768,Finance,815,2023-10-23,N/A,8489,8GB,756,Offline,Medium,0,571,8663,256GB
Africa,South Africa,Gauteng,Ricks Computers,2,Microsoft,Surface Neo,HDD,Bianca,Rivas,+1-983-410-7482x109,ojames@example.org,Mark Landry,Second-hand Sales,14898,18814,Finance,437,2022-10-17,N/A,41879,2GB,830,Offline,Low,0,606,17991,256GB
